Location,Impala_count,Zebra_count,Other_count,Longitude,Latitude
"(36.962348, -0.390386)",11,0,50,36.962348,-0.390386
"(36.962331, -0.390386)",29,3,57,36.962331,-0.390386
"(36.961408, -0.388557)",2,0,137,36.961408,-0.388557
"(36.965402, -0.386616)",34,0,386,36.965402,-0.386616
"(36.964172, -0.386405)",93,0,4,36.964172,-0.386405
"(36.9625, -0.390772)",3561,31,591,36.9625,-0.390772
"(36.962204, -0.39131)",52,0,2875,36.962204,-0.39131
"(36.962063, -0.390381)",469,384,31,36.962063,-0.390381
"(36.962386, -0.390381)",109,54,9,36.962386,-0.390381
"(36.961391, -0.388557)",2,0,16,36.961391,-0.388557
"(36.962124, -0.390042)",27,0,14,36.962124,-0.390042
"(36.962036, -0.390224)",97,16,0,36.962036,-0.390224
"(36.965974, -0.386823)",0,0,9,36.965974,-0.386823
"(36.962479, -0.390381)",4644,0,0,36.962479,-0.390381
"(36.964173, -0.386405)",0,0,20,36.964173,-0.386405
"(36.962578, -0.390807)",6723,113,180,36.962578,-0.390807
"(36.964109, -0.386438)",0,0,835,36.964109,-0.386438
"(36.962333, -0.390381)",239,242,56,36.962333,-0.390381
