,Location,Impala_count,Zebra_count,Other_count,Longitude,Latitude,x,y
0,"(36.962348, -0.390386)",11,0,50,36.962348,-0.390386,0.10653028476906637,0.10217067860018907
1,"(36.962331, -0.390386)",29,3,57,36.962331,-0.390386,0.10463789726536296,0.10217067860018907
2,"(36.961408, -0.388557)",2,0,137,36.961408,-0.388557,0.001892387503703315,0.30441112291395184
3,"(36.965402, -0.386616)",34,0,386,36.965402,-0.386616,0.4464921339693932,0.5190358909042858
4,"(36.964172, -0.386405)",93,0,4,36.964172,-0.386405,0.30957233222858244,0.5423670737639188
5,"(36.9625, -0.390772)",3561,31,591,36.9625,-0.390772,0.12345045539069274,0.0594889882167332
6,"(36.962204, -0.39131)",52,0,2875,36.962204,-0.39131,0.09050064944343986,0.0
7,"(36.962063, -0.390381)",469,384,31,36.962063,-0.390381,0.07480496485371449,0.10272355023702183
8,"(36.962386, -0.390381)",109,54,9,36.962386,-0.390381,0.11076032742486838,0.10272355023702183
9,"(36.961391, -0.388557)",2,0,16,36.961391,-0.388557,0.0,0.30441112291395184
10,"(36.962124, -0.390042)",27,0,14,36.962124,-0.390042,0.08159529648502212,0.14020824719891806
11,"(36.962036, -0.390224)",97,16,0,36.962036,-0.390224,0.0717994082298135,0.12008371963021823
12,"(36.965974, -0.386823)",0,0,9,36.965974,-0.386823,0.5101654076250834,0.49614700533874445
13,"(36.962479, -0.390381)",4644,0,0,36.962479,-0.390381,0.12111280023938492,0.10272355023702183
14,"(36.964173, -0.386405)",0,0,20,36.964173,-0.386405,0.3096836491410766,0.5423670737639188
15,"(36.962578, -0.390807)",6723,113,180,36.962578,-0.390807,0.1321331745257036,0.05561888675515132
16,"(36.964109, -0.386438)",0,0,835,36.964109,-0.386438,0.3025593667738681,0.5387181209951742
17,"(36.962333, -0.390381)",239,242,56,36.962333,-0.390381,0.10486053108956075,0.10272355023702183
